Sex,Age group,Statistics,Geography 4,Labour force characteristics,2019-10-01 (%),2020-09-01 (%),2020-10-01 (%),October 2019 to October 2020 (%),September 2020 to October 2020 (%)
Both sexes,15 years and over,Estimate,Canada,Unemployment rate 5,5.6,9,8.9,3.3,-0.1
Both sexes,15 years and over,Estimate,Canada,Participation rate 6,65.6,65,65.2,-0.4,0.2
Both sexes,15 years and over,Estimate,Newfoundland and Labrador,Unemployment rate 5,11.1,14.8,12.8,1.7,-2
Both sexes,15 years and over,Estimate,Newfoundland and Labrador,Participation rate 6,57.9,57.8,58,0.1,0.2
Both sexes,15 years and over,Estimate,Prince Edward Island,Unemployment rate 5,8.2,10.1,10,1.8,-0.1
Both sexes,15 years and over,Estimate,Prince Edward Island,Participation rate 6,66.3,63.7,64.3,-2,0.6
Both sexes,15 years and over,Estimate,Nova Scotia,Unemployment rate 5,8.1,7.9,8.7,0.6,0.8
Both sexes,15 years and over,Estimate,Nova Scotia,Participation rate 6,62.7,60.4,61.3,-1.4,0.9
Both sexes,15 years and over,Estimate,New Brunswick,Unemployment rate 5,8.1,10.4,10.1,2,-0.3
Both sexes,15 years and over,Estimate,New Brunswick,Participation rate 6,60.9,61.3,61.5,0.6,0.2
Both sexes,15 years and over,Estimate,Quebec,Unemployment rate 5,5,7.4,7.7,2.7,0.3
Both sexes,15 years and over,Estimate,Quebec,Participation rate 6,65,64.7,64.6,-0.4,-0.1
Both sexes,15 years and over,Estimate,Ontario,Unemployment rate 5,5.3,9.5,9.6,4.3,0.1
Both sexes,15 years and over,Estimate,Ontario,Participation rate 6,65,64.7,65,0,0.3
Both sexes,15 years and over,Estimate,Manitoba,Unemployment rate 5,5.3,7,7.1,1.8,0.1
Both sexes,15 years and over,Estimate,Manitoba,Participation rate 6,66.2,67,66.8,0.6,-0.2
Both sexes,15 years and over,Estimate,Saskatchewan,Unemployment rate 5,5.2,6.8,6.4,1.2,-0.4
Both sexes,15 years and over,Estimate,Saskatchewan,Participation rate 6,68.8,67.8,67.3,-1.5,-0.5
Both sexes,15 years and over,Estimate,Alberta,Unemployment rate 5,6.8,11.7,10.7,3.9,-1
Both sexes,15 years and over,Estimate,Alberta,Participation rate 6,71.2,69.7,69.6,-1.6,-0.1
Both sexes,15 years and over,Estimate,British Columbia,Unemployment rate 5,4.8,8.4,8,3.2,-0.4
Both sexes,15 years and over,Estimate,British Columbia,Participation rate 6,65.3,63.7,64.3,-1,0.6
Males,15 years and over,Estimate,Canada,Unemployment rate 5,5.9,9.5,9.3,3.4,-0.2
Males,15 years and over,Estimate,Canada,Participation rate 6,70,69.7,69.8,-0.2,0.1
Males,15 years and over,Estimate,Newfoundland and Labrador,Unemployment rate 5,12,18.9,16.6,4.6,-2.3
Males,15 years and over,Estimate,Newfoundland and Labrador,Participation rate 6,61.5,61.9,61.6,0.1,-0.3
Males,15 years and over,Estimate,Prince Edward Island,Unemployment rate 5,10.2,11.1,10,-0.2,-1.1
Males,15 years and over,Estimate,Prince Edward Island,Participation rate 6,70.5,68.1,69,-1.5,0.9
Males,15 years and over,Estimate,Nova Scotia,Unemployment rate 5,9.2,8.3,10.2,1,1.9
Males,15 years and over,Estimate,Nova Scotia,Participation rate 6,65.6,63.4,64.6,-1,1.2
Males,15 years and over,Estimate,New Brunswick,Unemployment rate 5,9.5,13.4,12.6,3.1,-0.8
Males,15 years and over,Estimate,New Brunswick,Participation rate 6,64.5,66.1,65.9,1.4,-0.2
Males,15 years and over,Estimate,Quebec,Unemployment rate 5,5.5,7.5,8.3,2.8,0.8
Males,15 years and over,Estimate,Quebec,Participation rate 6,68.8,68.9,69.1,0.3,0.2
Males,15 years and over,Estimate,Ontario,Unemployment rate 5,5.4,9.7,9,3.6,-0.7
Males,15 years and over,Estimate,Ontario,Participation rate 6,69.4,69.8,69.5,0.1,-0.3
Males,15 years and over,Estimate,Manitoba,Unemployment rate 5,5.6,7.2,7.3,1.7,0.1
Males,15 years and over,Estimate,Manitoba,Participation rate 6,71.5,71.9,72.1,0.6,0.2
Males,15 years and over,Estimate,Saskatchewan,Unemployment rate 5,5.4,7.3,7.7,2.3,0.4
Males,15 years and over,Estimate,Saskatchewan,Participation rate 6,73.9,72.5,73,-0.9,0.5
Males,15 years and over,Estimate,Alberta,Unemployment rate 5,7.4,12.9,11.7,4.3,-1.2
Males,15 years and over,Estimate,Alberta,Participation rate 6,76.6,75.5,75.7,-0.9,0.2
Males,15 years and over,Estimate,British Columbia,Unemployment rate 5,5.1,9,9.1,4,0.1
Males,15 years and over,Estimate,British Columbia,Participation rate 6,69.4,67,68.3,-1.1,1.3
Females,15 years and over,Estimate,Canada,Unemployment rate 5,5.2,8.5,8.5,3.3,0
Females,15 years and over,Estimate,Canada,Participation rate 6,61.4,60.5,60.7,-0.7,0.2
Females,15 years and over,Estimate,Newfoundland and Labrador,Unemployment rate 5,10.1,10.4,8.7,-1.4,-1.7
Females,15 years and over,Estimate,Newfoundland and Labrador,Participation rate 6,54.5,53.8,54.5,0,0.7
Females,15 years and over,Estimate,Prince Edward Island,Unemployment rate 5,6.1,9,10,3.9,1
Females,15 years and over,Estimate,Prince Edward Island,Participation rate 6,62.3,59.7,59.8,-2.5,0.1
Females,15 years and over,Estimate,Nova Scotia,Unemployment rate 5,6.9,7.3,7.1,0.2,-0.2
Females,15 years and over,Estimate,Nova Scotia,Participation rate 6,60,57.6,58.3,-1.7,0.7
Females,15 years and over,Estimate,New Brunswick,Unemployment rate 5,6.5,7,7.3,0.8,0.3
Females,15 years and over,Estimate,New Brunswick,Participation rate 6,57.5,56.7,57.3,-0.2,0.6
Females,15 years and over,Estimate,Quebec,Unemployment rate 5,4.5,7.3,6.9,2.4,-0.4
Females,15 years and over,Estimate,Quebec,Participation rate 6,61.3,60.5,60.2,-1.1,-0.3
Females,15 years and over,Estimate,Ontario,Unemployment rate 5,5.2,9.2,10.2,5,1
Females,15 years and over,Estimate,Ontario,Participation rate 6,60.8,59.8,60.6,-0.2,0.8
Females,15 years and over,Estimate,Manitoba,Unemployment rate 5,4.9,6.8,6.9,2,0.1
Females,15 years and over,Estimate,Manitoba,Participation rate 6,61,62.1,61.6,0.6,-0.5
Females,15 years and over,Estimate,Saskatchewan,Unemployment rate 5,4.9,6.2,4.8,-0.1,-1.4
Females,15 years and over,Estimate,Saskatchewan,Participation rate 6,63.7,63,61.4,-2.3,-1.6
Females,15 years and over,Estimate,Alberta,Unemployment rate 5,6,10.4,9.5,3.5,-0.9
Females,15 years and over,Estimate,Alberta,Participation rate 6,65.7,63.9,63.4,-2.3,-0.5
Females,15 years and over,Estimate,British Columbia,Unemployment rate 5,4.4,7.7,6.8,2.4,-0.9
Females,15 years and over,Estimate,British Columbia,Participation rate 6,61.3,60.5,60.4,-0.9,-0.1
